image_id,label,label_pred,prob_0,prob_1,prob_2,prob_3,prob_4,pred_label,pred_confidence,entropy,true_label_probability,is_correct,selection_group
1654084150.jpg,2,2,0.00676029454,0.00780548392,0.016451171,0.9593986,0.00958442806,3,0.9593986,0.2235399173677463,0.016451171,False,wrong_high_conf
3254381404.jpg,2,2,0.007486519744,0.0071536979104,0.026736088,0.9505287,0.00809502328,3,0.9505287,0.256031885809218,0.026736088,False,wrong_high_conf
602031471.jpg,3,3,0.0091240171,0.0104262841,0.938848852,0.0091105548,0.0324902896,2,0.938848852,0.30381825552524766,0.0091105548,False,wrong_high_conf
2074036389.jpg,2,2,0.007126259964,0.0128805856,0.026327896,0.938141304,0.01552392202,3,0.938141304,0.3116142909946343,0.026327896,False,wrong_high_conf
2191616657.jpg,4,4,0.00886590528,0.0120522385,0.00900589292,0.929065184,0.0410107887999999,3,0.929065184,0.3369081574999707,0.0410107887999999,False,wrong_high_conf
2203540560.jpg,3,3,0.007533823416,0.926273556,0.008891505656,0.02577953664,0.0315215894,1,0.926273556,0.35303759057241935,0.02577953664,False,wrong_high_conf
2247595260.jpg,1,1,0.0078946418,0.0267336228,0.0151716234199999,0.0257682866,0.92443183,4,0.92443183,0.36550519063646714,0.0267336228,False,wrong_high_conf
2703905057.jpg,1,1,0.01119299222,0.0478999181999999,0.0149039484,0.9204109,0.00559226831078,3,0.9204109,0.36386068640441316,0.0478999181999999,False,wrong_high_conf
602031471.jpg,3,3,0.0091240171,0.0104262841,0.938848852,0.0091105548,0.0324902896,2,0.938848852,0.30381825552524766,0.0091105548,False,low_true_prob
3822534983.jpg,2,2,0.01063089792,0.060891185,0.01061025238,0.906713224,0.0111544145,3,0.906713224,0.4058972827275894,0.01061025238,False,low_true_prob
783577117.jpg,3,3,0.02166500404,0.7746063999999999,0.01378907792,0.0121426888,0.177796801,1,0.7746063999999999,0.7005640085860774,0.0121426888,False,low_true_prob
3819082104.jpg,1,1,0.010665934602,0.01516040292,0.905485138,0.04071182584,0.02797668324,2,0.905485138,0.432222886091233,0.01516040292,False,low_true_prob
1654084150.jpg,2,2,0.00676029454,0.00780548392,0.016451171,0.9593986,0.00958442806,3,0.9593986,0.2235399173677463,0.016451171,False,low_true_prob
72925791.jpg,0,0,0.0183968658,0.06945577,0.0670241528,0.0396794912,0.80544371,4,0.80544371,0.7422054030955225,0.0183968658,False,low_true_prob
1057462029.jpg,0,0,0.018590151,0.714403412,0.0172571954,0.0253467776,0.224402472,1,0.714403412,0.8128790975493028,0.018590151,False,low_true_prob
1553857773.jpg,2,2,0.0870985212,0.56767327,0.020195847758,0.01226751406,0.312764824,1,0.56767327,1.0303289821806052,0.020195847758,False,low_true_prob
