image_id,selection_group,true_label,model_pred,model_pred_prob,cam_target_class,cam_target_prob,panel_path,overlay_path,heatmap_path
1654084150.jpg,wrong_high_conf,2,3,0.9106056690216064,2,0.034487947821617126,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_000_1654084150_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_000_1654084150_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_000_1654084150_heatmap.png
3254381404.jpg,wrong_high_conf,2,3,0.9084551930427551,2,0.02897229604423046,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_001_3254381404_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_001_3254381404_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_001_3254381404_heatmap.png
602031471.jpg,wrong_high_conf,3,2,0.8087064623832703,3,0.032765232026576996,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_002_602031471_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_002_602031471_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_002_602031471_heatmap.png
2074036389.jpg,wrong_high_conf,2,3,0.9178863167762756,2,0.016301870346069336,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_003_2074036389_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_003_2074036389_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_003_2074036389_heatmap.png
2191616657.jpg,wrong_high_conf,4,3,0.9191901087760925,4,0.02098838984966278,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_004_2191616657_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_004_2191616657_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_004_2191616657_heatmap.png
2203540560.jpg,wrong_high_conf,3,1,0.7824271321296692,3,0.10526970773935318,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_005_2203540560_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_005_2203540560_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_005_2203540560_heatmap.png
2247595260.jpg,wrong_high_conf,1,4,0.908148467540741,1,0.029033781960606575,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_006_2247595260_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_006_2247595260_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_006_2247595260_heatmap.png
2703905057.jpg,wrong_high_conf,1,3,0.8398854732513428,1,0.10183356702327728,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_007_2703905057_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_007_2703905057_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/wrong_high_conf_007_2703905057_heatmap.png
602031471.jpg,low_true_prob,3,2,0.8087064623832703,3,0.032765232026576996,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_008_602031471_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_008_602031471_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_008_602031471_heatmap.png
3822534983.jpg,low_true_prob,2,3,0.7438802123069763,2,0.02294733002781868,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_009_3822534983_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_009_3822534983_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_009_3822534983_heatmap.png
783577117.jpg,low_true_prob,3,1,0.5308219790458679,3,0.021509815007448196,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_010_783577117_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_010_783577117_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_010_783577117_heatmap.png
3819082104.jpg,low_true_prob,1,2,0.7163381576538086,1,0.04097546637058258,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_011_3819082104_panel.png,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_011_3819082104_overlay.png,interpretability_outputs/gradcam_effb3_seg_true_target/low_true_prob_011_3819082104_heatmap.png
