image_id,selection_group,true_label,model_pred,model_pred_prob,cam_target_class,cam_target_prob,panel_path,overlay_path,heatmap_path
2278166989.jpg,correct_high_conf,1,1,0.9747692942619324,1,0.9747692942619324,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_000_2278166989_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_000_2278166989_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_000_2278166989_heatmap.png
1004389140.jpg,correct_high_conf,1,1,0.9594584107398987,1,0.9594584107398987,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_001_1004389140_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_001_1004389140_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_001_1004389140_heatmap.png
240110902.jpg,correct_high_conf,3,3,0.9473302960395813,3,0.9473302960395813,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_002_240110902_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_002_240110902_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_002_240110902_heatmap.png
3401928000.jpg,correct_high_conf,1,1,0.8969964981079102,1,0.8969964981079102,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_003_3401928000_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_003_3401928000_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_003_3401928000_heatmap.png
1181473732.jpg,correct_high_conf,1,1,0.9296054244041443,1,0.9296054244041443,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_004_1181473732_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_004_1181473732_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_004_1181473732_heatmap.png
630240307.jpg,correct_high_conf,3,3,0.9362509250640869,3,0.9362509250640869,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_005_630240307_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_005_630240307_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/correct_high_conf_005_630240307_heatmap.png
1654084150.jpg,wrong_high_conf,2,3,0.9106056690216064,3,0.9106056690216064,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_006_1654084150_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_006_1654084150_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_006_1654084150_heatmap.png
3254381404.jpg,wrong_high_conf,2,3,0.9084551930427551,3,0.9084551930427551,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_007_3254381404_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_007_3254381404_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_007_3254381404_heatmap.png
602031471.jpg,wrong_high_conf,3,2,0.8087064623832703,2,0.8087064623832703,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_008_602031471_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_008_602031471_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_008_602031471_heatmap.png
2074036389.jpg,wrong_high_conf,2,3,0.9178863167762756,3,0.9178863167762756,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_009_2074036389_panel.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_009_2074036389_overlay.png,interpretability_outputs/gradcam_effb3_seg_best_ensemble_samples/wrong_high_conf_009_2074036389_heatmap.png
