image_id,label,prob_0,prob_1,prob_2,prob_3,prob_4,pred_label,pred_confidence,self_confidence,true_label_probability,max_other_probability,normalized_margin,entropy,is_misclassified,simple_rank
602031471.jpg,3,0.0091240171,0.0104262841,0.938848852,0.0091105548,0.0324902896,2,0.938848852,0.0091105548,0.0091105548,0.938848852,-0.9297382972,0.30381825552524766,True,0
3822534983.jpg,2,0.01063089792,0.060891185,0.01061025238,0.906713224,0.0111544145,3,0.906713224,0.01061025238,0.01061025238,0.906713224,-0.89610297162,0.4058972827275894,True,1
783577117.jpg,3,0.02166500404,0.7746063999999999,0.01378907792,0.0121426888,0.177796801,1,0.7746063999999999,0.0121426888,0.0121426888,0.7746063999999999,-0.7624637111999999,0.7005640085860774,True,2
3819082104.jpg,1,0.010665934602,0.01516040292,0.905485138,0.04071182584,0.02797668324,2,0.905485138,0.01516040292,0.01516040292,0.905485138,-0.89032473508,0.432222886091233,True,3
1654084150.jpg,2,0.00676029454,0.00780548392,0.016451171,0.9593986,0.00958442806,3,0.9593986,0.016451171,0.016451171,0.9593986,-0.942947429,0.2235399173677463,True,4
72925791.jpg,0,0.0183968658,0.06945577,0.0670241528,0.0396794912,0.80544371,4,0.80544371,0.0183968658,0.0183968658,0.80544371,-0.7870468442,0.7422054030955225,True,5
1057462029.jpg,0,0.018590151,0.714403412,0.0172571954,0.0253467776,0.224402472,1,0.714403412,0.018590151,0.018590151,0.714403412,-0.6958132610000001,0.8128790975493028,True,6
1553857773.jpg,2,0.0870985212,0.56767327,0.020195847758,0.01226751406,0.312764824,1,0.56767327,0.020195847758,0.020195847758,0.56767327,-0.547477422242,1.0303289821806052,True,7
4149113936.jpg,2,0.040328061,0.0252249189,0.022330815,0.195840644,0.7162755999999999,4,0.7162755999999999,0.022330815,0.022330815,0.7162755999999999,-0.6939447849999999,0.8655277514729575,True,8
1959916308.jpg,4,0.914736904,0.0446624196,0.00994967756,0.0080844496419999,0.0225665018,0,0.914736904,0.0225665018,0.0225665018,0.914736904,-0.8921704022,0.39073450858016706,True,9
3168989288.jpg,0,0.0229164132,0.0594735844,0.0602776624,0.3042194996,0.553112828,4,0.553112828,0.0229164132,0.0229164132,0.553112828,-0.5301964147999999,1.1132580276051542,True,10
3689984405.jpg,1,0.0205290526,0.0237429782,0.022903194,0.0124801603,0.920344624,4,0.920344624,0.0237429782,0.0237429782,0.920344624,-0.8966016457999999,0.3861807724289006,True,11
3878495459.jpg,3,0.01417691458,0.0144300476599999,0.0419543334,0.0243650034,0.905073692,4,0.905073692,0.0243650034,0.0243650034,0.905073692,-0.8807086886,0.4353218275868204,True,12
832729024.jpg,4,0.00913753208,0.1349018296,0.01305105496,0.8181137,0.02479588298,3,0.8181137,0.02479588298,0.02479588298,0.8181137,-0.79331781702,0.6256793746594564,True,13
2338166652.jpg,3,0.00828840502,0.892144504,0.0129059412,0.025636653,0.0610245041999999,1,0.892144504,0.025636653,0.025636653,0.892144504,-0.866507851,0.4622647347252452,True,14
2203540560.jpg,3,0.007533823416,0.926273556,0.008891505656,0.02577953664,0.0315215894,1,0.926273556,0.02577953664,0.02577953664,0.926273556,-0.9004940193600001,0.35303759057241935,True,15
2771434768.jpg,2,0.0360792801,0.01967582256,0.0260633786,0.1131663342,0.80501516,4,0.80501516,0.0260633786,0.0260633786,0.80501516,-0.7789517814,0.7133903054562334,True,16
2074036389.jpg,2,0.007126259964,0.0128805856,0.026327896,0.938141304,0.01552392202,3,0.938141304,0.026327896,0.026327896,0.938141304,-0.911813408,0.3116142909946343,True,17
2247595260.jpg,1,0.0078946418,0.0267336228,0.0151716234199999,0.0257682866,0.92443183,4,0.92443183,0.0267336228,0.0267336228,0.92443183,-0.8976982071999999,0.36550519063646714,True,18
3254381404.jpg,2,0.007486519744,0.0071536979104,0.026736088,0.9505287,0.00809502328,3,0.9505287,0.026736088,0.026736088,0.9505287,-0.923792612,0.256031885809218,True,19
2350465175.jpg,2,0.01654756562,0.035341883,0.0268554408,0.334250526,0.587004568,4,0.587004568,0.0268554408,0.0268554408,0.587004568,-0.5601491272,0.9621547057097778,True,20
2724554893.jpg,3,0.01010937608,0.907819408,0.0170925623,0.0275002092,0.0374784872,1,0.907819408,0.0275002092,0.0275002092,0.907819408,-0.8803191988000001,0.4256946225532153,True,21
85453943.jpg,1,0.01241364178,0.028071551,0.8865211,0.0596530294,0.01334070064,2,0.8865211,0.028071551,0.028071551,0.8865211,-0.8584495489999999,0.48732974507013405,True,22
1033962303.jpg,4,0.024006495,0.4268723199999999,0.311642988,0.2077295608,0.029748673,1,0.4268723199999999,0.029748673,0.029748673,0.4268723199999999,-0.3971236469999999,1.2472744403205767,True,23
3612201451.jpg,2,0.0821704946,0.0914159236,0.0324368291,0.0416700859999999,0.75230668,4,0.75230668,0.0324368291,0.0324368291,0.75230668,-0.7198698509,0.8817879394623139,True,24
3279881598.jpg,1,0.8041122599999999,0.0325811338,0.0307046796,0.0350923329999999,0.0975096179999999,0,0.8041122599999999,0.0325811338,0.0325811338,0.8041122599999999,-0.7715311261999999,0.7383576539560179,True,25
