image_id,label,prob_0,prob_1,prob_2,prob_3,prob_4,pred_label,pred_confidence,entropy,true_label_probability,is_correct
1654084150.jpg,2,0.00676029454,0.00780548392,0.016451171,0.9593986,0.00958442806,3,0.9593986,0.2235399173677463,0.016451171,False
3254381404.jpg,2,0.007486519744,0.0071536979104,0.026736088,0.9505287,0.00809502328,3,0.9505287,0.256031885809218,0.026736088,False
602031471.jpg,3,0.0091240171,0.0104262841,0.938848852,0.0091105548,0.0324902896,2,0.938848852,0.30381825552524766,0.0091105548,False
2074036389.jpg,2,0.007126259964,0.0128805856,0.026327896,0.938141304,0.01552392202,3,0.938141304,0.3116142909946343,0.026327896,False
2191616657.jpg,4,0.00886590528,0.0120522385,0.00900589292,0.929065184,0.0410107887999999,3,0.929065184,0.3369081574999707,0.0410107887999999,False
2203540560.jpg,3,0.007533823416,0.926273556,0.008891505656,0.02577953664,0.0315215894,1,0.926273556,0.35303759057241935,0.02577953664,False
2247595260.jpg,1,0.0078946418,0.0267336228,0.0151716234199999,0.0257682866,0.92443183,4,0.92443183,0.36550519063646714,0.0267336228,False
2703905057.jpg,1,0.01119299222,0.0478999181999999,0.0149039484,0.9204109,0.00559226831078,3,0.9204109,0.36386068640441316,0.0478999181999999,False
3689984405.jpg,1,0.0205290526,0.0237429782,0.022903194,0.0124801603,0.920344624,4,0.920344624,0.3861807724289006,0.0237429782,False
3973759314.jpg,2,0.0294012107999999,0.00795086548,0.037511331,0.918907552,0.00622903542898,3,0.918907552,0.3746281432816073,0.037511331,False
3459275499.jpg,3,0.0071479295,0.01277023,0.0071455737,0.0549546312,0.917981624,4,0.917981624,0.3643078700789548,0.0549546312,False
1054935979.jpg,1,0.0091739178839999,0.0455513328,0.019304868,0.91681044,0.009159445884,3,0.91681044,0.3825607997773446,0.0455513328,False
144323754.jpg,3,0.007340872086,0.0041280779054,0.915977356,0.066939504,0.00561418471054,2,0.915977356,0.34922507063534874,0.066939504,False
1959916308.jpg,4,0.914736904,0.0446624196,0.00994967756,0.0080844496419999,0.0225665018,0,0.914736904,0.39073450858016706,0.0225665018,False
3487867690.jpg,4,0.0058324395302,0.01449836642,0.02188643392,0.90807842,0.0497043479999999,3,0.90807842,0.411790192204018,0.0497043479999999,False
2724554893.jpg,3,0.01010937608,0.907819408,0.0170925623,0.0275002092,0.0374784872,1,0.907819408,0.4256946225532153,0.0275002092,False
